,real_price
34992,2.79
34993,3.71
34994,5.27
34995,2.29
34996,0.0
34997,0.0
34998,1.45
34999,5.5
35000,10.24
35001,17.8
35002,13.65
35003,6.07
35004,9.37
35005,11.62
35006,13.72
35007,14.9
35008,18.29
35009,31.28
35010,24.1
35011,16.52
35012,15.7
35013,15.21
35014,19.02
35015,13.57
35016,9.52
35017,3.89
35018,2.9
35019,5.33
35020,3.66
35021,0.0
35022,0.0
35023,0.0
35024,2.13
35025,5.92
35026,10.4
35027,14.36
35028,14.36
35029,14.33
35030,13.75
35031,5.9
35032,3.19
35033,10.72
35034,5.59
35035,5.82
35036,6.01
35037,7.31
35038,9.68
35039,11.0
35040,5.93
35041,5.84
35042,4.29
35043,3.12
35044,3.12
35045,2.76
35046,4.2
35047,11.95
35048,14.97
35049,22.9
35050,23.14
35051,22.61
35052,21.38
35053,22.0
35054,23.13
35055,20.68
35056,24.22
35057,77.75
35058,36.85
35059,19.69
35060,20.78
35061,27.85
35062,19.68
35063,27.37
35064,31.74
35065,17.61
35066,14.36
35067,10.26
35068,6.03
35069,6.09
35070,5.87
35071,5.67
35072,5.32
35073,5.63
35074,4.97
35075,5.79
35076,5.85
35077,5.67
35078,13.85
35079,13.35
35080,5.71
35081,5.89
35082,8.41
35083,13.35
35084,13.37
35085,13.35
35086,12.25
35087,13.33
35088,19.16
35089,13.66
35090,14.34
35091,18.69
35092,14.37
35093,13.68
35094,6.89
35095,10.35
35096,10.51
35097,17.32
35098,37.12
35099,20.51
35100,21.2
35101,19.41
35102,19.73
35103,19.49
35104,21.11
35105,24.18
35106,21.94
35107,20.13
35108,21.62
35109,22.83
35110,18.07
35111,16.96
35112,8.9
35113,8.95
35114,7.38
35115,1.79
35116,6.64
35117,8.39
35118,2.45
35119,1.96
35120,13.65
35121,11.96
35122,21.91
35123,22.11
35124,21.88
35125,21.3
35126,21.36
35127,14.77
35128,18.87
35129,22.11
35130,20.4
35131,20.96
35132,19.75
35133,21.5
35134,19.07
35135,20.86
35136,7.3
35137,8.01
35138,5.26
35139,5.28
35140,11.45
35141,20.73
35142,22.57
35143,20.18
35144,23.66
35145,21.54
35146,22.65
35147,23.14
35148,22.28
35149,22.41
35150,21.67
35151,19.55
35152,24.57
35153,29.08
35154,24.05
35155,20.07
35156,20.26
35157,18.32
35158,18.53
35159,15.4
35160,7.31
35161,15.64
35162,18.02
35163,16.36
35164,23.61
35165,22.19
35166,21.03
35167,22.68
35168,26.23
35169,25.62
35170,25.68
35171,25.88
35172,26.67
35173,25.77
35174,24.66
35175,23.82
35176,24.21
35177,26.62
35178,24.44
35179,24.59
35180,25.05
35181,24.96
35182,20.9
35183,16.56
35184,14.35
35185,13.63
35186,14.38
35187,6.4
35188,2.07
35189,20.47
35190,19.59
35191,18.91
35192,24.55
35193,27.34
35194,26.07
35195,27.72
35196,27.66
35197,24.85
35198,21.88
35199,23.72
35200,21.99
35201,26.26
35202,24.05
35203,24.11
35204,24.62
35205,23.89
35206,22.55
35207,20.06
35208,16.07
35209,14.17
35210,3.14
35211,1.98
35212,6.01
35213,8.2
35214,9.11
35215,20.34
35216,23.94
35217,23.95
35218,24.78
35219,25.41
35220,24.82
35221,24.79
35222,23.96
35223,23.0
35224,25.63
35225,27.61
35226,25.66
35227,23.71
35228,24.65
35229,23.34
35230,23.57
35231,22.03
35232,32.26
35233,38.0
35234,21.09
35235,7.98
35236,2.69
35237,15.84
35238,24.81
35239,25.16
35240,26.9
35241,26.61
35242,26.66
35243,26.62
35244,26.31
35245,21.57
35246,19.91
35247,23.89
35248,25.13
35249,26.87
35250,26.58
35251,26.9
35252,26.75
35253,25.24
35254,23.12
35255,16.18
35256,15.03
35257,14.06
35258,19.62
35259,9.52
35260,14.37
35261,14.37
35262,13.69
35263,23.91
35264,23.91
35265,22.92
35266,23.89
35267,24.4
35268,24.03
35269,24.07
35270,24.36
35271,24.78
35272,23.38
35273,26.96
35274,26.55
35275,24.0
35276,23.85
35277,18.95
35278,16.58
35279,14.96
35280,14.36
35281,14.38
35282,14.39
35283,14.36
35284,14.35
35285,14.35
35286,14.57
35287,17.67
35288,14.28
35289,19.1
35290,24.27
35291,24.11
35292,23.96
35293,23.7
35294,23.55
35295,24.17
35296,26.85
35297,27.92
35298,27.69
35299,25.44
35300,24.37
35301,24.34
35302,24.31
35303,23.13
35304,18.42
35305,13.87
35306,10.9
35307,7.2
35308,5.83
35309,11.67
35310,17.16
35311,24.44
35312,25.35
35313,22.29
35314,14.92
35315,15.29
35316,22.83
35317,15.15
35318,15.49
35319,14.09
35320,20.71
35321,23.51
35322,16.44
35323,11.69
35324,9.16
35325,16.5
35326,14.24
35327,14.2
35328,12.73
35329,14.4
35330,14.4
35331,14.38
35332,5.94
35333,6.83
35334,8.1
35335,19.32
35336,27.17
35337,27.3
35338,27.89
35339,27.66
35340,27.1
35341,23.79
35342,20.38
35343,23.4
35344,21.19
35345,28.08
35346,26.71
35347,25.35
35348,25.36
35349,22.58
35350,21.45
35351,12.39
35352,5.76
35353,6.86
35354,5.8
35355,1.92
35356,0.48
35357,0.0
35358,14.58
35359,10.84
35360,14.39
35361,14.4
35362,24.87
35363,13.68
35364,14.35
35365,6.64
35366,8.05
35367,13.67
35368,13.36
35369,20.46
35370,21.58
35371,18.05
35372,7.87
35373,3.78
35374,7.84
35375,7.36
35376,5.81
35377,10.67
35378,10.12
35379,10.9
35380,10.89
35381,7.31
35382,14.23
35383,23.44
35384,24.43
35385,24.55
35386,21.53
35387,24.61
35388,24.13
35389,23.32
35390,20.46
35391,19.21
35392,25.29
35393,24.85
35394,19.07
35395,7.88
35396,5.34
35397,7.38
35398,3.07
35399,0.0
35400,0.0
35401,-0.09
35402,-0.13
35403,-0.13
35404,-0.04
35405,-0.01
35406,0.0
35407,0.0
35408,0.41
35409,0.0
35410,5.39
35411,13.07
35412,14.37
35413,14.38
35414,14.37
35415,13.08
35416,19.77
35417,23.34
35418,18.06
35419,14.64
35420,10.22
35421,14.93
35422,11.59
35423,12.2
35424,13.69
35425,8.88
35426,14.37
35427,14.37
35428,20.41
35429,13.68
35430,14.37
35431,12.99
35432,12.28
35433,23.5
35434,24.92
35435,24.95
35436,24.71
35437,24.62
35438,25.11
35439,19.07
35440,20.05
35441,27.03
35442,24.32
35443,22.09
35444,17.49
35445,14.05
35446,2.44
35447,0.98
35448,0.44
35449,0.0
35450,0.0
35451,0.0
35452,0.0
35453,0.0
35454,0.49
35455,7.03
35456,9.65
35457,10.86
35458,27.89
35459,18.3
35460,14.4
35461,12.29
35462,14.38
35463,12.32
35464,23.01
35465,38.68
35466,26.02
35467,25.19
35468,25.85
35469,21.85
35470,16.87
35471,12.29
35472,17.03
35473,5.94
35474,14.35
35475,14.35
35476,14.35
35477,16.01
35478,20.28
35479,27.66
35480,33.4
35481,24.72
35482,25.64
35483,24.22
35484,23.54
35485,24.15
35486,19.48
35487,23.44
35488,24.78
35489,28.55
35490,25.58
35491,24.36
35492,23.7
35493,15.11
35494,9.42
35495,7.17
35496,7.19
35497,4.84
35498,4.87
35499,5.2
35500,0.89
35501,0.0
35502,0.95
35503,11.06
35504,9.09
35505,13.35
35506,13.37
35507,5.92
35508,5.93
35509,12.73
35510,7.23
35511,12.75
35512,13.68
35513,24.28
35514,21.08
35515,16.63
35516,13.62
35517,9.94
35518,4.8
35519,9.03
35520,10.9
35521,5.22
35522,5.76
35523,1.86
35524,0.0
35525,0.0
35526,2.64
35527,20.77
35528,23.77
35529,28.37
35530,27.38
35531,23.94
35532,15.09
35533,14.36
35534,14.77
35535,18.12
35536,22.89
35537,22.67
35538,18.7
35539,7.78
35540,3.42
35541,3.39
35542,1.92
35543,0.0
35544,0.0
35545,0.0
35546,0.0
35547,0.0
35548,0.0
35549,0.0
35550,0.47
35551,4.18
35552,5.94
35553,5.85
35554,6.03
35555,6.05
35556,5.92
35557,6.03
35558,5.97
35559,11.54
35560,9.8
35561,14.34
35562,8.36
35563,5.87
35564,1.3
35565,0.0
35566,5.46
35567,1.97
35568,0.0
35569,0.0
35570,0.0
35571,0.0
35572,0.0
35573,0.0
35574,0.17
35575,6.72
35576,13.36
35577,12.12
35578,17.12
35579,14.4
35580,13.55
35581,10.91
35582,8.94
35583,3.36
35584,8.91
35585,19.57
35586,16.44
35587,18.11
35588,10.9
35589,13.75
35590,10.24
35591,8.48
35592,5.92
35593,5.71
35594,6.08
35595,6.59
35596,11.53
35597,9.71
35598,6.4
35599,7.92
35600,12.3
35601,14.36
35602,14.39
35603,14.38
35604,11.6
35605,7.78
35606,12.98
35607,17.74
35608,22.93
35609,44.71
35610,47.25
35611,22.26
35612,19.27
35613,19.27
35614,24.41
35615,29.62
35616,22.59
35617,21.46
35618,17.9
35619,13.24
35620,13.23
35621,12.08
35622,10.9
35623,12.68
35624,13.25
35625,13.24
35626,13.24
35627,21.64
35628,18.65
35629,21.61
35630,20.69
35631,13.75
35632,21.57
35633,23.13
35634,22.25
35635,21.14
35636,20.66
35637,22.32
35638,22.04
35639,18.0
35640,16.44
35641,15.76
35642,16.45
35643,20.38
35644,20.61
35645,22.53
35646,22.6
35647,26.15
35648,29.49
35649,26.89
35650,22.8
35651,24.5
35652,24.7
35653,24.7
35654,24.41
35655,24.83
35656,26.15
35657,28.05
35658,26.16
35659,25.25
35660,23.83
35661,22.15
35662,20.31
35663,14.32
35664,9.02
35665,5.32
35666,0.0
35667,0.0
35668,0.0
35669,0.0
35670,4.52
35671,17.57
35672,23.46
35673,23.21
35674,26.41
35675,27.3
35676,27.04
35677,23.7
35678,23.29
35679,23.13
35680,23.91
35681,25.65
35682,23.6
35683,23.06
35684,22.41
35685,21.85
35686,23.12
35687,15.61
35688,15.97
35689,10.31
35690,13.26
35691,13.25
35692,13.98
35693,22.1
35694,23.64
35695,23.78
35696,23.88
35697,25.95
35698,26.65
35699,26.25
35700,24.43
35701,23.01
35702,21.23
35703,22.47
35704,23.99
35705,27.15
35706,24.23
35707,22.65
35708,23.48
35709,23.64
35710,28.58
35711,20.87
35712,14.36
35713,12.92
35714,3.43
35715,0.0
35716,0.0
35717,1.37
35718,12.22
35719,13.34
35720,14.36
35721,14.35
35722,14.35
35723,15.91
35724,17.83
35725,15.91
35726,15.76
35727,13.66
35728,20.16
35729,27.01
35730,24.28
35731,24.1
35732,19.01
35733,12.27
35734,18.36
35735,17.41
35736,46.26
35737,42.94
35738,19.58
35739,14.35
35740,14.32
35741,4.15
35742,23.25
35743,27.24
35744,28.0
35745,28.04
35746,27.56
35747,25.39
35748,24.66
35749,24.2
35750,21.6
35751,24.08
35752,26.47
35753,28.72
35754,28.51
35755,28.05
35756,28.1
35757,28.03
35758,24.98
35759,26.91
35760,24.06
35761,23.96
35762,23.87
35763,23.9
35764,23.87
35765,24.41
35766,25.5
35767,27.8
35768,27.8
35769,27.75
35770,27.78
35771,27.2
35772,25.84
35773,24.25
35774,25.17
35775,24.59
35776,25.34
35777,41.57
35778,38.25
35779,27.56
35780,25.91
35781,24.63
35782,23.9
35783,15.49
35784,14.36
35785,5.07
35786,0.0
35787,0.0
35788,0.0
35789,0.0
35790,1.47
35791,11.57
35792,22.03
35793,13.67
35794,24.14
35795,21.03
35796,23.79
35797,15.06
35798,14.34
35799,8.72
35800,24.3
35801,21.56
35802,21.32
35803,24.47
35804,24.16
35805,24.83
35806,14.06
35807,7.39
35808,13.35
35809,8.5
35810,6.84
35811,6.68
35812,9.73
35813,24.46
35814,27.12
35815,28.33
35816,28.79
35817,29.49
35818,28.42
35819,28.1
35820,27.98
35821,24.3
35822,24.23
35823,24.16
35824,24.73
35825,26.52
35826,25.31
35827,24.36
35828,24.38
35829,24.34
35830,24.32
35831,25.26
35832,14.12
35833,13.33
35834,13.33
35835,13.34
35836,5.92
35837,0.0
35838,14.73
35839,25.2
35840,26.23
35841,25.92
35842,26.35
35843,26.34
35844,16.09
35845,4.47
35846,1.37
35847,4.64
35848,11.42
35849,17.77
35850,14.82
